ATF	1.0
1	5
Calculation applied: None
"Name [Measurement Set Info]=ChlamyLugol10xRuben"
"Plate ID"	"Well Name"	"Site ID"	"MEASUREMENT SET ID"	"Cell Count (ChlamyLugol10xRuben)"
16719	"E09"	7	7249	1773.0
16719	"E09"	8	7249	1727.0
16719	"E09"	9	7249	1908.0
16719	"E10"	1	7249	588.0
16719	"E10"	2	7249	547.0
16719	"E10"	3	7249	564.0
16719	"E10"	4	7249	651.0
16719	"E10"	5	7249	578.0
16719	"E10"	6	7249	1345.0
16719	"E10"	7	7249	556.0
16719	"E10"	8	7249	780.0
16719	"E10"	9	7249	811.0
16719	"E11"	1	7249	1688.0
16719	"E11"	2	7249	1327.0
16719	"E11"	3	7249	1241.0
16719	"E11"	4	7249	2518.0
16719	"E11"	5	7249	1195.0
16719	"E11"	6	7249	1320.0
16719	"E11"	7	7249	2061.0
16719	"E11"	8	7249	1426.0
16719	"E11"	9	7249	2010.0
16719	"E12"	1	7249	359.0
16719	"E12"	2	7249	248.0
16719	"E12"	3	7249	342.0
16719	"E12"	4	7249	336.0
16719	"E12"	5	7249	237.0
16719	"E12"	6	7249	1052.0
16719	"E12"	7	7249	135.0
16719	"E12"	8	7249	369.0
16719	"E12"	9	7249	311.0
16719	"F01"	1	7249	315.0
16719	"F01"	2	7249	404.0
16719	"F01"	3	7249	334.0
16719	"F01"	4	7249	942.0
16719	"F01"	5	7249	496.0
16719	"F01"	6	7249	389.0
16719	"F01"	7	7249	552.0
16719	"F01"	8	7249	312.0
16719	"F01"	9	7249	536.0
16719	"F02"	1	7249	324.0
16719	"F02"	2	7249	373.0
16719	"F02"	3	7249	390.0
16719	"F02"	4	7249	827.0
16719	"F02"	5	7249	379.0
16719	"F02"	6	7249	400.0
16719	"F02"	7	7249	597.0
16719	"F02"	8	7249	456.0
16719	"F02"	9	7249	719.0
16719	"F03"	1	7249	1197.0
16719	"F03"	2	7249	1345.0
16719	"F03"	3	7249	1414.0
16719	"F03"	4	7249	1884.0
16719	"F03"	5	7249	1634.0
16719	"F03"	6	7249	1706.0
16719	"F03"	7	7249	2006.0
16719	"F03"	8	7249	1904.0
16719	"F03"	9	7249	2044.0
